ISIN,NAME,Country,Region,Years_With_Both_Scopes
FR0000120966,BIC,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0005758098,MEGGITT DEAD - DELIST.14/09/22,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
GB00B0WMWD03,QINETIQ GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
NL0000008977,HEINEKEN HOLDING,NL,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
AT0000743059,OMV,AT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
CH0014786500,VALIANT 'R',CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0000811801,BARRATT REDROW,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
IT0003153415,SNAM,IT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
NL0000395903,WOLTERS KLUWER,NL,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
CH0038388911,SULZER 'R',CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
BE0003735496,ORANGE BELGIUM,BE,EUR,"[2013, 2014, 2019, 2022, 2023, 2024]"
DE0007297004,SUEDZUCKER,DE,EUR,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]"
IT0003128367,ENEL,IT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0005576813,HOWDEN JOINERY GP.,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
BE0003717312,SOFINA,BE,EUR,"[2021, 2022, 2023, 2024]"
CH0319416936,FLUGHAFEN ZURICH,CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0000163088,SPEEDY HIRE,GB,EUR,"[2013, 2015, 2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]"
CH0012005267,NOVARTIS 'R',CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
CH0012221716,ABB LTD N,CH,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0008711763,TT ELECTRONICS,GB,EUR,"[2020, 2021, 2022, 2023, 2024]"
CH1216478797,DSM FIRMENICH,CH,EUR,[]
GB00B2PDGW16,WH SMITH,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DK0061539921,VESTAS WINDSYSTEMS,DK,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
IE0001827041,CRH PUBLIC LIMITED,IE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000130577,PUBLICIS GROUPE,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE000ENAG999,E ON N,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
BMG850801025,STOLT-NIELSEN,GB,EUR,"[2021, 2022, 2023, 2024]"
FR0000121121,EURAZEO,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
US70211M1099,PARTNER COMMS.ADR 1:1 DEAD - DELIST.22/09/23,IL,EUR,"[2018, 2019, 2020, 2021, 2022]"
GB0009692319,WILMINGTON,GB,EUR,"[2020, 2021, 2022, 2023, 2024, 2025]"
SE0007100581,ASSA ABLOY B,SE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0152503035,MEDIASET ESPANA COMUNICACION,ES,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]"
FI0009000277,TIETOEVRY,FI,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
US0528001094,AUTOLIV,SE,EUR,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B0LCW083,HIKMA PHARMACEUTICALS,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
IT0000066123,BPER BANCA,IT,EUR,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0007323586,RENISHAW,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
GB0009123323,ULTRA ELECTRONICS DEAD - DELIST.02/08/22,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]"
GB00B39J2M42,UNITED UTILITIES GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
FR0000120222,CNP ASSURANCES DEAD - DELIST.20/06/22,FR,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]"
DE000A1EWWW0,ADIDAS,DE,EUR,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE000CBK1001,COMMERZBANK,DE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00BD6K4575,COMPASS GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DE000PSM7770,PROSIEBENSAT 1 MEDIA,DE,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0007958233,SENIOR,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
FR0000051070,MAUREL ET PROM,FR,EUR,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
SE0000242455,SWEDBANK A,SE,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
CH0024608827,PARTNERS GROUP HOLDING,CH,EUR,"[2019, 2020, 2021, 2022, 2023, 2024]"
